country,unit,iso_code,type,model,status,site_name,site_location,owner_long_name,latest_thermal_power,latest_gross_electr_power,original_design_net_electr_power,latest_ref_unit_power_net,construction_date,criticality_date,grid_date,commercial_date,suspended_operation_date,susp_op_end_date,permanent_shutdown_date,operator_long_name,load_factor,lifetime_electr_supplied
GERMANY,BROKDORF,DE,PWR  ,PWR,Permanent Shutdown,BROKDORF,Inland near a river,"1. (80%) PreussenElektra GmbH
2. (20%) Vattenfall",3900,1480,1307,1410,1976-01-01,1986-10-08,1986-10-14,1986-12-22,,,2021-12-31,PreussenElektra GmbH,86.28,
GERMANY,BRUNSBUETTEL,DE,BWR  ,BWR-69,Permanent Shutdown,BRUNSBUETTEL,Inland near a river,"1. (66,6%) Vattenfall Europe Nuclear Energy GmbH
",2292,806,770,771,1970-04-15,1976-06-23,1976-07-13,1977-02-09,,,2011-08-06,Kernkraftwerk Brunsbüttel GmbH & Co. oHG,51.09,
GERMANY,EMDEN,DE,,,Cancelled Plan,EMDEN,,,3800,1360,1300,1300,,,,,,,1979-01-01,,,
GERMANY,EMSLAND,DE,PWR  ,Konvoi,Permanent Shutdown,EMSLAND,Inland near a river,"1. (75%) RWE Power AG
2. (25%) PreussenElektra Gm",3850,1406,1242,1335,1982-08-10,1988-04-14,1988-04-19,1988-06-20,,,2023-04-15,Kernkraftwerke Lippe-Ems GmbH,92.48,
GERMANY,GRAFENRHEINFELD,DE,PWR  ,PWR,Permanent Shutdown,GRAFENRHEINFELD ,Inland near a river,E.ON Kernkraft GmbH,3765,1345,1225,1275,1975-01-01,1981-12-09,1981-12-30,1982-06-17,,,2015-06-27,E.ON Kernkraft GmbH,85.7,
GERMANY,GREIFSWALD-1,DE,PWR  ,VVER V-230,Permanent Shutdown,GREIFSWALD,Seacoast,ENERGIEWERKE Nord GmbH,1375,440,440,408,1970-03-01,1973-12-15,1973-12-17,1974-07-12,,,1990-12-18,ENERGIEWERKE Nord GmbH,76.02,
GERMANY,GREIFSWALD-2,DE,PWR  ,VVER V-230,Permanent Shutdown,GREIFSWALD,Seacoast,ENERGIEWERKE Nord GmbH,1375,440,408,408,1970-03-01,1974-12-03,1974-12-23,1975-04-16,,,1990-02-14,ENERGIEWERKE Nord GmbH,74.27,
GERMANY,GREIFSWALD-3,DE,PWR  ,VVER V-230,Permanent Shutdown,GREIFSWALD,Seacoast,ENERGIEWERKE Nord GmbH,1375,440,408,408,1972-04-01,1977-10-16,1977-10-24,1978-05-01,,,1990-02-28,ENERGIEWERKE Nord GmbH,77.89,
GERMANY,GREIFSWALD-4,DE,PWR  ,VVER V-230,Permanent Shutdown,GREIFSWALD,Seacoast,ENERGIEWERKE Nord GmbH,1375,440,408,408,1972-04-01,1979-07-22,1979-09-03,1979-11-01,,,1990-06-02,ENERGIEWERKE Nord GmbH,70.59,
GERMANY,GREIFSWALD-5,DE,PWR  ,VVER V-213,Permanent Shutdown,GREIFSWALD,Seacoast,"VEB KKW ""Bruno Leuschner"" ",1375,440,408,408,1976-12-01,1989-03-26,1989-04-24,1989-11-01,,,1989-11-24,ENERGIEWERKE Nord GmbH,,
GERMANY,GREIFSWALD-6,DE,PWR  ,VVER V-213,Cancelled Constr.,GREIFSWALD,Seacoast,"VEB KKW ""Bruno Leuschner"" ",1375,440,408,408,1976-12-01,,,,,,1990-01-01,ENERGIEWERKE Nord GmbH,,
GERMANY,GREIFSWALD-7,DE,PWR  ,VVER V-213,Cancelled Constr.,GREIFSWALD,Seacoast,"VEB KKW ""Bruno Leuschner"" ",1375,440,408,408,1978-12-01,,,,,,1990-10-01,ENERGIEWERKE Nord GmbH,,
GERMANY,GREIFSWALD-8,DE,PWR  ,VVER V-213,Cancelled Constr.,GREIFSWALD,Seacoast,"VEB KKW ""Bruno Leuschner"" ",1375,440,408,408,1978-12-01,,,,,,1990-10-01,ENERGIEWERKE Nord GmbH,,
GERMANY,GROHNDE,DE,PWR  ,PWR,Permanent Shutdown,GROHNDE ,Inland near a river,"1. (83,3%) PreussenElektra GmbH
2. (16,7%) Stadtw",3900,1430,1289,1360,1976-06-01,1984-09-01,1984-09-05,1985-02-01,,,2021-12-31,PreussenElektra GmbH,88.42,
GERMANY,GUNDREMMINGEN-A,DE,BWR  ,BWR-1,Permanent Shutdown,GUNDREMMINGEN,Inland near a river,RWE Power AG,801,250,237,237,1962-12-12,1966-08-14,1966-12-01,1967-04-12,,,1977-01-13,KERNKRAFTWERKE GUNDREMMINGEN BETRIEBSGESELLSCHAFT ,80.58,
GERMANY,GUNDREMMINGEN-B,DE,BWR  ,BWR-72,Permanent Shutdown,GUNDREMMINGEN,Inland near a river,"1. (75%) RWE Power AG
2. (25%) E.ON Kernkraft Gmb",3840,1344,1244,1284,1976-07-20,1984-03-09,1984-03-16,1984-07-19,,,2017-12-31,Kernkraftwerk Gundremmingen GmbH,83.94,
GERMANY,GUNDREMMINGEN-C,DE,BWR  ,BWR-72,Permanent Shutdown,GUNDREMMINGEN,Inland near a river,"1. (75%) RWE Power AG
2. (25%) PreussenElektra Gm",3840,1344,1249,1288,1976-07-20,1984-10-26,1984-11-02,1985-01-18,,,2021-12-31,Kernkraftwerk Gundremmingen GmbH,82.89,
GERMANY,HAMM,DE,PWR  ,,Suspended Plan,HAMM ,,KERNKRAFTWERK LIPPE GMBH,3765,1301,1231,1231,,,,,,,,KERNKRAFTWERK LIPPE GMBH,,
GERMANY,HDR GROSSWELZHEIM,DE,BWR  ,Superheated steam reactor,Decommissioning Completed,HDR GROSSWELZHEIM,Inland near a river,HEISSDAMPFREAKTOR-BETRIEBSGESELLSCHAFT MBH.,100,27,23,25,1965-01-01,1969-10-14,1970-08-02,,,,1971-07-20,HEISSDAMPFREAKTOR-BETRIEBSGESELLSCHAFT MBH.,,
GERMANY,ISAR-1,DE,BWR  ,BWR-69,Permanent Shutdown,ISAR,Inland near a river,E.ON Kernkraft GmbH,2575,912,870,878,1972-05-01,1977-11-20,1977-12-03,1979-03-21,,,2011-08-06,E.ON Kernkraft GmbH,78.66,
GERMANY,ISAR-2,DE,PWR  ,Konvoi,Permanent Shutdown,ISAR,Inland near a river,"1. (75%) PreussenElektra GmbH
2. (25%) Stadtwerke",3950,1485,1285,1410,1982-09-15,1988-01-15,1988-01-22,1988-04-09,,,2023-04-15,PreussenElektra GmbH,89.78,
GERMANY,KALKAR,DE,FBR  ,SRN-300,Cancelled Constr.,KALKAR,Inland near a river,SCHNELL-BRUETER-KERNKRAFTWERKSGESELLSCHAFT MBH,762,327,295,295,1973-04-23,,,,,,1991-03-20,SCHNELL-BRUETER-KERNKRAFTWERKSGESELLSCHAFT MBH,,
GERMANY,KNK II,DE,FBR  ,Prototype,Permanent Shutdown,KNK,Inland near a river,"Karlsruher Institut für Technologie
(Kernforschun",58,21,18,17,1974-09-01,1977-10-10,1978-04-09,1979-03-03,,,1991-08-23,KERNKRAFTWERK-BETRIEBSGESELLSCHAFT MBH,17.11,
GERMANY,KRUEMMEL,DE,BWR  ,BWR-69,Permanent Shutdown,KRUEMMEL,Inland near a river,"1. (50%) Vattenfall Europe Nuclear Energy GmbH
2.",3690,1402,1260,1346,1974-04-05,1983-09-14,1983-09-28,1984-03-28,,,2011-08-06,Kernkraftwerk Krümmel GmbH & Co. oHG,65.19,
GERMANY,LINGEN,DE,BWR  ,BWR with fossil fuel-fired superheater,Permanent Shutdown,LINGEN,Inland near a river,RWE Nuclear GmbH,520,268,240,183,1964-10-01,1968-01-31,1968-07-01,1968-10-01,,,1977-01-05,Kernkraftwerk Lingen GmbH,51.57,
GERMANY,MUELHEIM-KAERLICH,DE,PWR  ,PWR,Permanent Shutdown,MUELHEIM-KAERLICH,Inland near a river,SCN,3760,1302,1219,1219,1975-01-15,1986-03-01,1986-03-14,1987-08-18,,,1988-09-09,Kernkraftwerk Gundremmingen GmbH,81.58,
GERMANY,MZFR,DE,PHWR ,-,Permanent Shutdown,MZFR Karlsruhe,Inland near a river,Kerntechnische Entsorgung Karlsruhe GmbH,200,57,50,52,1961-12-01,1965-09-29,1966-03-09,1966-12-19,,,1984-05-03,KERNKRAFTWERK-BETRIEBSGESELLSCHAFT MBH,70.59,
GERMANY,NECKARWESTHEIM-1,DE,PWR  ,PWR,Permanent Shutdown,NECKARWESTHEIM,Inland near a river,"1. (98.45%) EnBW
2. (1.55%) four other owners",2497,840,805,785,1972-02-01,1976-05-26,1976-06-03,1976-12-01,,,2011-08-06,EnBW Kernkraft GmbH,76.84,
GERMANY,NECKARWESTHEIM-2,DE,PWR  ,Konvoi,Permanent Shutdown,NECKARWESTHEIM,Inland near a river,EnBW Kernkraft GmbH,3850,1400,1225,1310,1982-11-09,1988-12-29,1989-01-03,1989-04-15,,,2023-04-15,EnBW Kernkraft GmbH,90.96,
GERMANY,NEUPOTZ-A,DE,PWR  ,,Suspended Plan,NEUPOTZ,,RWE ENERGIE AG,3765,1368,1289,1289,,,,,,,,,,
GERMANY,NEUPOTZ-B,DE,PWR  ,,Suspended Plan,NEUPOTZ,,RWE ENERGIE AG,3765,1368,1289,1289,,,,,,,,,,
GERMANY,NIEDERAICHBACH,DE,HWGCR,pressure tube reactor,Decommissioning Completed,NIEDERAICHBACH,Inland near a river,"Karlsruher Institut für Technologie
(Kernforschun",321,106,100,100,1966-06-01,1972-12-17,1973-10-10,,,,1974-07-31,KERNKRAFTWERK NIEDERAICHBACH GMBH,,
GERMANY,OBRIGHEIM,DE,PWR  ,PWR,Permanent Shutdown,OBRIGHEIM,Inland near a river,KERNKRAFTWERK OBRIGHEIM GMBH,1050,357,283,340,1965-03-15,1968-09-22,1968-10-29,1969-03-31,,,2005-05-11,EnBW Kraftwerke AG,81.26,
GERMANY,PFAFFENHOFEN,DE,PWR  ,,Suspended Plan,PFAFFENHOFEN,,,3765,1315,1238,1238,,,,,,,,,,
GERMANY,PHILIPPSBURG-1,DE,BWR  ,BWR-69,Permanent Shutdown,PHILIPPSBURG,Inland near a river,EnBW Kraftwerke AG,2575,926,864,890,1970-10-01,1979-03-09,1979-05-05,1980-03-26,,,2011-08-06,EnBW Kernkraft GmbH,76.76,
GERMANY,PHILIPPSBURG-2,DE,PWR  ,PWR,Permanent Shutdown,PHILIPPSBURG,Inland near a river,EnBW Kernkraft GmbH,3950,1468,1268,1402,1977-07-07,1984-12-13,1984-12-17,1985-04-18,,,2019-12-31,EnBW Kernkraft GmbH,86.0,
GERMANY,RHEINSBERG,DE,PWR  ,VVER-70,Permanent Shutdown,RHEINSBERG,Inland near a lake,ENERGIEWERKE Nord GmbH,265,70,62,62,1960-01-01,1966-03-01,1966-05-06,1966-10-11,,,1990-06-01,ENERGIEWERKE Nord GmbH,,
GERMANY,SNR-2,DE,FBR  ,,Suspended Plan,SNR,,EUROPAEISCHE SCHNELLBRUETER-KERNKRAFTWERKSGESELLSC,3820,1500,1380,1380,,,,,,,,EUROPAEISCHE SCHNELLBRUETER-KERNKRAFTWERKSGESELLSC,,
GERMANY,STADE,DE,PWR  ,PWR,Permanent Shutdown,STADE,Inland near a river,KERNKRAFTWERK STADE GMBH,1900,672,630,640,1967-12-01,1972-01-08,1972-01-29,1972-05-19,,,2003-11-14,E.ON Kernkraft GmbH,82.71,
GERMANY,STENDAL-1,DE,PWR  ,,Cancelled Constr.,STENDAL,Inland near a river,"VEB KKW ""Bruno Leuschner"" ",3000,970,900,900,1982-12-01,,,,,,1991-03-01,ENERGIEWERKE Nord GmbH,,
GERMANY,STENDAL-2,DE,PWR  ,,Cancelled Constr.,STENDAL,Inland near a river,"VEB KKW ""Bruno Leuschner"" ",3000,970,900,900,1984-12-01,,,,,,1991-03-01,ENERGIEWERKE Nord GmbH,,
GERMANY,THTR-300,DE,HTGR ,Pebble bed reactor,Permanent Shutdown,THTR-300,Inland near a river,HOCHTEMPERATUR-KERNKRAFTWERK GMBH,760,308,296,296,1971-05-03,1983-09-13,1985-11-16,1987-06-01,,,1988-09-29,HOCHTEMPERATUR-KERNKRAFTWERK GMBH,50.53,
GERMANY,UNTERWESER,DE,PWR  ,PWR,Permanent Shutdown,UNTERWESER,Inland near a river,E.ON Kernkraft GmbH,3900,1410,1230,1345,1972-07-01,1978-09-16,1978-09-29,1979-09-06,,,2011-08-06,E.ON Kernkraft GmbH,79.4,
GERMANY,VAHNUM-A,DE,,,Cancelled Plan,VAHNUM,,Kernkraftwerk Gundremmingen GmbH,0,1300,0,0,,,,,,,,Kernkraftwerk Gundremmingen GmbH,,
GERMANY,VAHNUM-B,DE,,,Cancelled Plan,VAHNUM,,Kernkraftwerk Gundremmingen GmbH,0,1300,0,0,,,,,,,,Kernkraftwerk Gundremmingen GmbH,,
GERMANY,VAK KAHL,DE,BWR  ,BWR,Decommissioning Completed,VAK KAHL,Inland near a river,VERSUCHSATOMKRAFTWERK KAHL GMBH,60,16,15,15,1958-07-01,1960-11-13,1961-06-17,1962-02-01,,,1985-11-25,VERSUCHSATOMKRAFTWERK KAHL GMBH,,
GERMANY,WUERGASSEN,DE,BWR  ,BWR,Permanent Shutdown,WUERGASSEN,Inland near a river,PREUSSENELEKTRA KERNKRAFT GMBH&Co KG,1912,670,640,640,1968-01-26,1971-10-20,1971-12-18,1975-11-11,,,1994-08-26,PREUSSENELEKTRA KERNKRAFT GMBH&Co KG,62.19,
GERMANY,WYHL-1,DE,PWR  ,,Suspended Plan,WYHL,,KERNKRAFTWERK SUED GMBH,3765,1375,1300,1300,,,,,,,,KERNKRAFTWERK SUED GMBH,,
HUNGARY,PAKS-1,HU,PWR  ,VVER V-213,Operational,PAKS,Inland near a river,HUNGARIAN POWER COMPANIES LTD.,1485,509,408,479,1974-08-01,1982-12-14,1982-12-28,1983-08-10,,,,"PAKS NUCLEAR POWER PLANT, LTD.",87.87,142.94
HUNGARY,PAKS-2,HU,PWR  ,VVER V-213,Operational,PAKS,Inland near a river,HUNGARIAN POWER COMPANIES LTD.,1485,506,410,479,1974-08-01,1984-08-26,1984-09-06,1984-11-14,,,,"PAKS NUCLEAR POWER PLANT, LTD.",84.42,133.46
HUNGARY,PAKS-3,HU,PWR  ,VVER V-213,Operational,PAKS,Inland near a river,HUNGARIAN POWER COMPANIES LTD.,1485,506,410,479,1979-10-01,1986-09-15,1986-09-28,1986-12-01,,,,"PAKS NUCLEAR POWER PLANT, LTD.",88.31,132.26
HUNGARY,PAKS-4,HU,PWR  ,VVER V-213,Operational,PAKS,Inland near a river,HUNGARIAN POWER COMPANIES LTD.,1485,506,410,479,1979-10-01,1987-08-09,1987-08-16,1987-11-01,,,,"PAKS NUCLEAR POWER PLANT, LTD.",89.24,131.79
HUNGARY,PAKS-5,HU,PWR  ,VVER-1200/V-527,Under Construction,PAKS-II,Inland near a river,Paks II. Nuclear Power Plant Private Company Limit,3200,1265,1185,1185,2026-02-05,,,,,,,Paks II. Nuclear Power Plant Private Company Limit,,
HUNGARY,PAKS-6,HU,PWR  ,VVER-1200/V-527,Planned,PAKS-II,Inland near a river,Paks II. Nuclear Power Plant Private Company Limit,3200,1265,1185,1185,,,,,,,,Paks II. Nuclear Power Plant Private Company Limit,,
INDIA,CHUTKA-1,IN,PHWR ,PHWR-700,Considered,CHUTKA,,,,700,630,630,,,,,,,,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",,
INDIA,CHUTKA-2,IN,PHWR ,PHWR-700,Considered,,,,,700,630,630,,,,,,,,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",,
INDIA,GORAKHPUR-1,IN,PHWR ,PHWR-700,Planned,GORAKHPUR,Seacoast,,,700,630,630,,,,,,,,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",,
INDIA,GORAKHPUR-2,IN,PHWR ,PHWR-700,Planned,GORAKHPUR,Seacoast,,,700,630,630,,,,,,,,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",,
INDIA,GORAKHPUR-3,IN,PHWR ,PHWR-700,Considered,,,,,700,630,630,,,,,,,,,,
INDIA,GORAKHPUR-4,IN,PHWR ,PHWR-700,Considered,GORAKHPUR,Seacoast,,,700,630,630,,,,,,,,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",,
INDIA,KAIGA-1,IN,PHWR ,Horizontal Pressure Tube type,Operational,KAIGA,Inland near a river,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",801,220,202,202,1989-09-01,2000-09-26,2000-10-12,2000-11-16,,,,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",78.48,33.42
INDIA,KAIGA-2,IN,PHWR ,Horizontal Pressure Tube type,Operational,KAIGA,Inland near a river,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",801,220,202,202,1989-12-01,1999-09-24,1999-12-02,2000-03-16,,,,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",78.38,34.31
INDIA,KAIGA-3,IN,PHWR ,Horizontal Pressure Tube type,Operational,KAIGA,Inland near a river,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",800,220,202,202,2002-03-30,2007-02-26,2007-04-11,2007-05-06,,,,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",77.46,24.25
INDIA,KAIGA-4,IN,PHWR ,Horizontal Pressure Tube type,Operational,KAIGA,Inland near a river,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",800,220,202,202,2002-05-10,2010-11-27,2011-01-19,2011-01-20,,,,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",91.12,22.48
INDIA,KAIGA-5,IN,PHWR ,,Planned,KAIGA,Inland near a river,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",2166,700,630,630,,,,,,,,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",,
INDIA,KAIGA-6,IN,PHWR ,,Planned,KAIGA,Inland near a river,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",2166,700,630,630,,,,,,,,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",,
INDIA,KAKRAPAR-1,IN,PHWR ,Horizontal Pressure Tube type,Operational,KAKRAPAR,Inland near a river,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",801,220,202,202,1984-12-01,1992-09-03,1992-11-24,1993-05-06,,,,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",62.93,34.52
INDIA,KAKRAPAR-2,IN,PHWR ,Horizontal Pressure Tube type,Operational,KAKRAPAR,Inland near a river,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",801,220,202,202,1985-04-01,1995-01-08,1995-03-04,1995-09-01,,,,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",70.3,36.44
INDIA,KAKRAPAR-3,IN,PHWR ,PHWR-700,Operational,KAKRAPAR,Inland near a river,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",2166,700,630,630,2010-11-22,2020-07-22,2021-01-10,2023-06-30,,,,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",75.1,7.03
INDIA,KAKRAPAR-4,IN,PHWR ,PHWR-700,Operational,KAKRAPAR,Inland near a river,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",2166,700,630,630,2010-11-22,2023-12-17,2024-02-20,2024-03-31,,,,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",71.92,3.07
INDIA,KUDANKULAM-1,IN,PWR  ,VVER V-412,Operational,KUDANKULAM,Seacoast,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",3000,1000,917,932,2002-03-31,2013-07-13,2013-10-22,2014-12-31,,,,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",65.24,55.76
INDIA,KUDANKULAM-2,IN,PWR  ,VVER V-412,Operational,KUDANKULAM,Seacoast,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",3000,1000,917,932,2002-07-04,2016-07-10,2016-08-29,2017-03-31,,,,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",64.84,43.16
INDIA,KUDANKULAM-3,IN,PWR  ,VVER V-412,Under Construction,KUDANKULAM,Seacoast,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",3000,1000,917,917,2017-06-29,,,,,,,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",,
INDIA,KUDANKULAM-4,IN,PWR  ,VVER V-412,Under Construction,KUDANKULAM,Seacoast,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",3000,1000,917,917,2017-10-23,,,,,,,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",,
INDIA,KUDANKULAM-5,IN,PWR  ,VVERV412,Under Construction,KUDANKULAM,Seacoast,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",3000,1000,917,917,2021-06-29,,,,,,,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",,
INDIA,KUDANKULAM-6,IN,PWR  ,VVERV412,Under Construction,KUDANKULAM,Seacoast,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",3000,1000,917,917,2021-12-20,,,,,,,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",,
INDIA,MADRAS-1,IN,PHWR ,Horizontal Pressure Tube type,Suspended Operation,MADRAS,Seacoast,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",801,220,202,205,1971-01-01,1983-07-02,1983-07-23,1984-01-27,2018-01-30,,,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",54.22,
INDIA,MADRAS-2,IN,PHWR ,Horizontal Pressure Tube type,Operational,MADRAS,Seacoast,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",801,220,202,205,1972-10-01,1985-08-12,1985-09-20,1986-03-21,,,,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",62.42,41.19
INDIA,MAHI BANSWARA- 4,IN,PHWR ,PHWR-700,Considered,MahiBanswara,,,,700,630,630,,,,,,,,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",,
INDIA,MAHI BANSWARA-1,IN,PHWR ,PHWR-700,Considered,,,,,700,630,630,,,,,,,,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",,
INDIA,MAHI BANSWARA-2,IN,PHWR ,PHWR-700,Considered,,,,,700,630,630,,,,,,,,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",,
INDIA,MAHI BANSWARA-3,IN,PHWR ,PHWR-700,Considered,,,,,700,630,630,,,,,,,,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",,
INDIA,NARORA-1,IN,PHWR ,Horizontal Pressure Tube type,Operational,NARORA,Inland near a river,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",801,220,202,202,1976-12-01,1989-03-12,1989-07-29,1991-01-01,,,,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",62.99,38.1
INDIA,NARORA-2,IN,PHWR ,Horizontal Pressure Tube type,Operational,NARORA,Inland near a river,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",801,220,202,202,1977-11-01,1991-10-24,1992-01-05,1992-07-01,,,,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",65.64,37.68
INDIA,PFBR,IN,FBR  ,Prototype,Under Construction,MADRAS,Seacoast,Bharatiya Nabhikiya Vidyut Nigam Limited,1253,500,470,470,2004-10-23,,,,,,,Bharatiya Nabhikiya Vidyut Nigam Limited,,
INDIA,RAJASTHAN-1,IN,PHWR ,Horizontal Pressure Tube type,Suspended Operation,RAJASTHAN,Inland near a river,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",346,100,207,134,1965-08-01,1972-08-11,1972-11-30,1973-12-16,2004-10-09,,,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",22.48,
INDIA,RAJASTHAN-2,IN,PHWR ,Horizontal Pressure Tube type,Operational,RAJASTHAN,Inland near a river,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",693,200,207,187,1968-04-01,1980-10-08,1980-11-01,1981-04-01,,,,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",57.77,40.35
INDIA,RAJASTHAN-3,IN,PHWR ,Horizontal Pressure Tube type,Operational,RAJASTHAN,Inland near a river,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",801,220,202,202,1990-02-01,1999-12-24,2000-03-10,2000-06-01,,,,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",71.6,31.52
INDIA,RAJASTHAN-4,IN,PHWR ,Horizontal Pressure Tube type,Operational,RAJASTHAN,Inland near a river,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",801,220,202,202,1990-10-01,2000-11-03,2000-11-17,2000-12-23,,,,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",79.32,34.06
INDIA,RAJASTHAN-5,IN,PHWR ,Horizontal Pressure Tube type,Operational,RAJASTHAN,Inland near a river,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",801,220,202,202,2002-09-18,2009-11-24,2009-12-22,2010-02-04,,,,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",92.31,24.38
INDIA,RAJASTHAN-6,IN,PHWR ,Horizontal Pressure Tube type,Operational,RAJASTHAN,Inland near a river,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",801,220,202,202,2003-01-20,2010-01-23,2010-03-28,2010-03-31,,,,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",83.87,21.91
INDIA,RAJASTHAN-7,IN,PHWR ,Horizontal Pressure Tube type,Operational,RAJASTHAN,Inland near a river,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",2177,700,630,630,2011-07-18,2024-09-19,2025-03-17,2025-04-15,,,,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",,
INDIA,RAJASTHAN-8,IN,PHWR ,Horizontal Pressure Tube type,Under Construction,RAJASTHAN,Inland near a river,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",2177,700,630,630,2011-09-30,,,,,,,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",,
INDIA,TARAPUR-1,IN,BWR  ,BWR-1 (Mark 2),Suspended Operation,TARAPUR,Seacoast,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",530,160,200,150,1964-10-01,1969-02-01,1969-04-01,1969-10-28,2020-01-18,,,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",63.13,
INDIA,TARAPUR-2,IN,BWR  ,BWR-1 (Mark 2),Suspended Operation,TARAPUR,Seacoast,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",530,160,200,150,1964-10-01,1969-02-28,1969-05-05,1969-10-28,2020-07-13,,,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",64.29,
INDIA,TARAPUR-3,IN,PHWR ,Horizontal Pressure Tube Type,Operational,TARAPUR,Seacoast,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",1730,540,502,482,2000-05-12,2006-05-21,2006-06-15,2006-08-18,,,,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",80.27,63.37
INDIA,TARAPUR-4,IN,PHWR ,Horizontal Pressure Tube Type,Operational,TARAPUR,Seacoast,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",1730,540,502,378,2000-03-08,2005-03-06,2005-06-04,2005-09-12,,,,"NUCLEAR POWER CORPORATION OF INDIA, LTD.",73.78,61.33
"IRAN, ISLAMIC REPUBLIC OF",BUSHEHR-1,IR,PWR  ,VVER V-446,Operational,BUSHEHR,Seacoast,Nuclear Power Production and Development Co. of Ir,3000,1000,915,915,1975-05-01,2011-05-08,2011-09-03,2013-09-23,,,,Nuclear Power Production and Development Co. of Ir,67.42,64.47
"IRAN, ISLAMIC REPUBLIC OF",BUSHEHR-2,IR,PWR  ,V-528 VVER-1000 AES-92 GIII+,Under Construction,BUSHEHR,Seacoast,Nuclear Power Production and Development Co. of Ir,3012,1057,974,974,2019-09-27,,,,,,,Nuclear Power Production and Development Co. of Ir,,
"IRAN, ISLAMIC REPUBLIC OF",BUSHEHR-3,IR,PWR  ,VVER V-528,Planned,BUSHEHR,Seacoast,Nuclear Power Production and Development Co. of Ir,3000,1000,915,915,,,,,,,,Nuclear Power Production and Development Co. of Ir,,
