country,unit,iso_code,type,model,status,site_name,site_location,owner_long_name,latest_thermal_power,latest_gross_electr_power,original_design_net_electr_power,latest_ref_unit_power_net,construction_date,criticality_date,grid_date,commercial_date,suspended_operation_date,susp_op_end_date,permanent_shutdown_date,operator_long_name,load_factor,lifetime_electr_supplied
BELGIUM,TIHANGE-3,BE,PWR  ,WH 3LP,Operational,TIHANGE,Inland near a river,"ENGIE ELECTRABEL
",3000,1089,1020,1030,1978-11-01,1985-06-05,1985-06-15,1985-09-01,,,,"ENGIE ELECTRABEL
",86.16,305.98
BRAZIL,ANGRA-1,BR,PWR  ,WH 2LP,Operational,ANGRA-1,Seacoast,ELETRONUCLEAR S.A.,1882,640,626,609,1971-05-01,1982-03-13,1982-04-01,1985-01-01,,,,ELETRONUCLEAR S.A.,59.1,128.85
BRAZIL,ANGRA-2,BR,PWR  ,PRE KONVOI,Operational,ANGRA-2,Seacoast,ELETRONUCLEAR S.A.,3764,1350,1245,1275,1976-01-01,2000-07-14,2000-07-21,2001-02-01,,,,ELETRONUCLEAR S.A.,84.33,228.97
BRAZIL,ANGRA-3,BR,PWR  ,PRE KONVOI,Under Construction,ANGRA-3,Seacoast,ELETRONUCLEAR S.A.,3900,1405,1340,1340,2010-05-30,2028-03-08,2028-03-18,2028-07-05,,,,ELETRONUCLEAR S.A.,,
BULGARIA,BELENE-1,BG,PWR  ,VVER V-466,Cancelled Constr.,BELENE,Inland near a river,Bulgaria's National Electricity Company,3000,1000,953,953,1987-01-01,,,,,,2012-03-28,Kozloduy Nuclear power plant,,
BULGARIA,BELENE-2,BG,PWR  ,VVER V-466,Cancelled Constr.,BELENE,Inland near a river,Bulgaria's National Electricity Company,3000,1000,953,953,1987-03-31,,,,,,2012-03-28,Kozloduy Nuclear power plant,,
BULGARIA,KOZLODUY-1,BG,PWR  ,VVER V-230,Permanent Shutdown,KOZLODUY,Inland near a river,State Enterprise “Radio Active Waste”,1375,440,408,408,1970-04-01,1974-06-30,1974-07-24,1974-10-28,,,2002-12-31,"Kozloduy Npp ,lc",60.06,
BULGARIA,KOZLODUY-2,BG,PWR  ,VVER V-230,Permanent Shutdown,KOZLODUY,Inland near a river,State Enterprise “Radio Active Waste”,1375,440,408,408,1970-04-01,1975-08-22,1975-08-24,1975-11-10,,,2002-12-31,"Kozloduy Npp ,lc",64.39,
BULGARIA,KOZLODUY-3,BG,PWR  ,VVER V-230,Permanent Shutdown,KOZLODUY,Inland near a river,State Enterprise “Radio Active Waste” ,1375,440,408,408,1973-10-01,1980-12-04,1980-12-17,1981-01-20,,,2006-12-31,"Kozloduy Npp ,lc",67.43,
BULGARIA,KOZLODUY-4,BG,PWR  ,VVER V-230,Permanent Shutdown,KOZLODUY,Inland near a river,State Enterprise “Radio Active Waste” ,1375,440,408,408,1973-10-01,1982-04-25,1982-05-17,1982-06-20,,,2006-12-31,"Kozloduy Npp ,lc",69.23,
BULGARIA,KOZLODUY-5,BG,PWR  ,VVER V-320,Operational,KOZLODUY,Inland near a river,Bulgarian Energy Holding,3120,1040,953,1003,1980-07-09,1987-11-05,1987-11-29,1988-12-23,,,,"Kozloduy Npp ,lc",69.54,211.97
BULGARIA,KOZLODUY-6,BG,PWR  ,VVER V-320,Operational,KOZLODUY,Inland near a river,Bulgarian Energy Holding,3120,1040,953,1003,1982-04-01,1991-05-29,1991-08-02,1993-12-30,,,,"Kozloduy Npp ,lc",75.26,197.79
CANADA,BRUCE-1,CA,PHWR ,CANDU 791,Operational,BRUCE A,Inland near a lake,Ontario Power Generation,2620,868,732,816,1971-06-01,1976-12-17,1977-01-14,1977-09-01,1997-10-16,2012-09-19,,Bruce Power,73.77,165.5
CANADA,BRUCE-2,CA,PHWR ,CANDU 791,Operational,BRUCE A,Inland near a lake,Ontario Power Generation,2620,836,732,817,1970-12-01,1976-07-27,1976-09-04,1977-09-01,1995-10-08,2012-10-16,,Bruce Power,72.09,150.3
CANADA,BRUCE-3,CA,PHWR ,CANDU 750A,Operational,BRUCE A,Inland near a lake,Ontario Power Generation,2550,865,750,770,1972-07-01,1977-11-28,1977-12-12,1978-02-01,1998-04-01,2004-01-08,,Bruce Power,71.15,187.12
CANADA,BRUCE-4,CA,PHWR ,CANDU 750A,Operational,BRUCE A,Inland near a lake,Ontario Power Generation,2550,868,750,807,1972-09-01,1978-12-10,1978-12-21,1979-01-18,1998-03-16,2003-10-07,,Bruce Power,75.11,196.94
